robot_id,omega_z_1,omega_z_2,omega_z_3,omega_z_4,amp_z_1,amp_z_2,std_x,std_y,particle_successfull,w,W,f,rmse_div,cluster
11,0.0628318530717958,0.1256637061435917,0.0314159265358979,-0.0942477796076937,18.219569232371285,13.41635023041271,11.301103443793682,12.80147634775427,0,-0.0785929139183672,0.0260302971302516,-1.5709259999979266,-1.5431398006796933,4
12,-0.0942477796076937,-0.0314159265358979,0.0314159265358979,0.0942477796076937,55.1490379617252,44.883134028698066,26.946561757974788,18.836242154372844,1,0.0548432796001148,-0.0107997096807108,-0.9159829609359956,-12.97221602612828,2
17,-0.0314159265358979,0.0314159265358979,0.0942477796076937,-0.0942477796076937,50.242052588386706,34.16378070029848,18.885800118146943,21.619160003811135,1,0.0768740519567605,0.0196636762423641,-2.0247077093114676,3.4991678682138883,1
18,0.0314159265358979,0.1570796326794896,-0.0628318530717958,0.1884955592153875,37.82035169893541,31.254878861049388,25.061482088096685,31.736622531660245,0,-0.0401126200167209,0.0251407850277632,1.4459514233593067,-4.182828018830648,3
19,-0.0314159265358979,0.0314159265358979,-0.1256637061435917,0.0628318530717958,42.587052498527015,22.99799131400914,32.04821608321976,15.806503726657269,1,0.1245799267505632,0.0180144453095394,-0.4165765622007819,19.956768223496574,3
27,0.0314159265358979,0.1570796326794896,-0.0314159265358979,0.0942477796076937,54.60885952417406,29.581674341248277,14.15666302705102,16.466835606447315,1,-0.2002281681623601,0.0145210932611871,0.6640187048853469,-13.042865164012618,3
28,-0.0314159265358979,0.0314159265358979,0.0628318530717958,-0.0942477796076937,13.046324943168427,13.019358336409177,10.982208632855514,12.119393198109426,0,0.2569688922256769,0.2236572086781303,1.3711021292591876,-11.802459954208828,4
29,-0.0628318530717958,0.0314159265358979,-0.0942477796076937,-0.0314159265358979,21.09513168647723,14.153143186177449,11.797855214053016,13.90747198517694,0,-0.3030144124336875,-0.0650884897667928,-1.9763510783077836,-12.61722035018504,0
30,-0.0314159265358979,-0.0628318530717958,0.1570796326794896,0.0314159265358979,33.25546274768451,17.872490428249105,16.527693193514285,23.387773929910313,0,-0.0553366498547078,0.003758066175616,1.762160407517653,7.167773945931025,1
31,0.0314159265358979,-0.0314159265358979,0.0628318530717958,0.1256637061435917,44.31967219380915,26.710815394620408,19.706806268123376,14.028342508410264,0,-0.0404206859629705,-0.0166976968109891,0.002313569248836,-1.4695049712675257,3
32,0.0314159265358979,0.0628318530717958,-0.0628318530717958,-0.0942477796076937,26.04529052594471,23.604928439737684,14.625858618595776,21.768159881809662,0,-0.1042268507044505,-0.0403725184459396,2.7529546773964872,1.3166661490049665,4
34,0.0314159265358979,-0.1570796326794896,-0.0314159265358979,0.0628318530717958,27.674386680294777,25.195923912613804,25.469260727394424,20.35638003448228,0,-0.0951976698320703,-0.0383155170492269,-2.74064013,-10.215737333031107,0
38,0.0942477796076937,-0.0942477796076937,0.0628318530717958,-0.0628318530717958,20.905879361533675,17.223604732988452,7.867083639397316,12.08501059416479,0,-0.1951848485806613,-0.1077353822540505,1.5742537230293747,-5.4159451589576,4
41,0.0942477796076937,0.0314159265358979,0.1256637061435917,-0.0942477796076937,43.22470740590316,30.999339175125684,18.28742501193086,28.30783716101746,1,-0.0884736022379413,0.0708721342053476,1.587343463017491,5.1598671857413265,1
